Dates,12M,18M,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,12Y,15Y,20Y,25Y,30Y
1/30/2026,3.471,3.3778,3.3629,3.3893,3.4493,3.5172,3.5905,3.6623,3.7282,3.7905,3.8493,3.9569,4.0853,4.1973,4.2207,4.1995
1/29/2026,3.4952,3.4099,3.399,3.4263,3.4843,3.5485,3.6164,3.683,3.7445,3.8029,3.8585,3.9616,4.0856,4.1945,4.2154,4.1926
1/28/2026,3.5084,3.4223,3.4128,3.4426,3.5012,3.5654,3.6331,3.6998,3.7613,3.8195,3.8748,3.9777,4.1012,4.2092,4.229,4.2059
1/27/2026,3.502,3.4184,3.4091,3.4389,3.498,3.5625,3.6307,3.6977,3.7593,3.8178,3.8734,3.9763,4.0997,4.2066,4.226,4.2019
1/26/2026,3.522,3.4407,3.4324,3.4586,3.511,3.5688,3.6318,3.6944,3.753,3.8083,3.8613,3.9609,4.0811,4.1852,4.2008,4.1745
1/23/2026,3.5227,3.4417,3.4334,3.4615,3.5136,3.5711,3.6358,3.7003,3.7604,3.8178,3.8725,3.9749,4.0977,4.2044,4.2223,4.1964
1/22/2026,3.5331,3.4544,3.4482,3.4774,3.5321,3.5917,3.6568,3.7213,3.781,3.8381,3.8925,3.9933,4.114,4.2171,4.232,4.203
1/21/2026,3.523,3.4384,3.4267,3.4525,3.5075,3.5694,3.6371,3.7048,3.7664,3.8255,3.8822,3.9878,4.1133,4.2213,4.2392,4.2124
1/20/2026,3.5188,3.435,3.4272,3.4609,3.5215,3.5883,3.6578,3.727,3.7902,3.8507,3.9082,4.0143,4.1405,4.2483,4.266,4.2387
1/19/2026,3.5225,3.4353,3.4224,3.4462,3.4975,3.5565,3.6214,3.6867,3.7484,3.8071,3.8633,3.9675,4.0919,4.1995,4.217,4.1903
1/16/2026,3.5225,3.4353,3.4224,3.4462,3.4975,3.5565,3.6214,3.6867,3.7484,3.8071,3.8633,3.9675,4.0919,4.1995,4.217,4.1903
1/15/2026,3.5146,3.4214,3.4031,3.4205,3.4667,3.5226,3.5868,3.6527,3.7145,3.7745,3.8313,3.9378,4.0642,4.1747,4.1943,4.169
1/14/2026,3.4824,3.3773,3.3506,3.3611,3.4077,3.4648,3.5329,3.6024,3.6677,3.7303,3.7903,3.9015,4.0325,4.1471,4.1693,4.1455
1/13/2026,3.4969,3.3927,3.3701,3.3875,3.4394,3.501,3.5694,3.6389,3.704,3.7666,3.8263,3.937,4.0684,4.1835,4.2056,4.1819
1/12/2026,3.4967,3.395,3.3738,3.3937,3.4437,3.5025,3.5684,3.6354,3.6992,3.7604,3.8188,3.9276,4.0572,4.1699,4.1904,4.1658
1/9/2026,3.4895,3.3905,3.3717,3.3905,3.4369,3.4921,3.5558,3.6204,3.6828,3.7433,3.8005,3.908,4.036,4.148,4.1676,4.1423
1/8/2026,3.4506,3.3492,3.3285,3.3516,3.405,3.4668,3.536,3.6064,3.6727,3.7368,3.7985,3.9118,4.0464,4.1636,4.1868,4.1628
1/7/2026,3.4398,3.3364,3.3131,3.33,3.3811,3.4421,3.5113,3.582,3.6485,3.7129,3.7748,3.8902,4.027,4.1464,4.1709,4.1495
1/6/2026,3.4382,3.3323,3.3093,3.3312,3.3858,3.4503,3.5233,3.5978,3.6667,3.7333,3.7969,3.9155,4.0548,4.176,4.2013,4.1804
1/5/2026,3.4197,3.3154,3.2936,3.3182,3.3747,3.4409,3.5143,3.5878,3.657,3.7229,3.7866,3.9049,4.044,4.164,4.189,4.1679
1/2/2026,3.427,3.3284,3.313,3.3459,3.4066,3.4755,3.5486,3.6209,3.6887,3.7544,3.817,3.9333,4.0706,4.1878,4.2103,4.187
1/1/2026,3.427,3.3285,3.3116,3.3381,3.3957,3.4638,3.5355,3.6068,3.6735,3.7388,3.8023,3.9183,4.0538,4.17,4.191,4.1675
12/31/2025,3.427,3.3285,3.3116,3.3381,3.3957,3.4638,3.5355,3.6068,3.6735,3.7388,3.8023,3.9183,4.0538,4.17,4.191,4.1675
12/30/2025,3.419,3.3115,3.2866,3.3054,3.3578,3.4214,3.4927,3.5648,3.633,3.6989,3.7621,3.8803,4.0188,4.1374,4.1603,4.1376
12/29/2025,3.424,3.314,3.2878,3.301,3.3498,3.4104,3.4801,3.5506,3.6177,3.6827,3.7457,3.8638,4.0027,4.1221,4.1458,4.1238
12/26/2025,3.4399,3.336,3.3131,3.3267,3.3729,3.4315,3.4984,3.5675,3.6323,3.6958,3.7577,3.874,4.012,4.1302,4.153,4.1308
12/25/2025,3.4592,3.3563,3.3333,3.3485,3.3937,3.4515,3.5163,3.5819,3.6448,3.706,3.7656,3.8773,4.0093,4.1215,4.1394,4.1133
12/24/2025,3.4592,3.3563,3.3333,3.3485,3.3937,3.4515,3.5163,3.5819,3.6448,3.706,3.7656,3.8773,4.0093,4.1215,4.1394,4.1133
12/23/2025,3.484,3.3834,3.3618,3.3743,3.4176,3.4737,3.5376,3.6028,3.6656,3.7266,3.7863,3.8987,4.0311,4.1448,4.1633,4.1377
12/22/2025,3.455,3.349,3.3257,3.3414,3.3878,3.4472,3.516,3.5857,3.6528,3.7168,3.7788,3.894,4.0299,4.1453,4.1653,4.141
12/19/2025,3.4446,3.3321,3.3055,3.3203,3.3678,3.4288,3.4979,3.568,3.6347,3.6997,3.762,3.8783,4.0151,4.132,4.1529,4.1291
12/18/2025,3.4359,3.3196,3.2876,3.2956,3.3426,3.4032,3.4731,3.5441,3.6121,3.6775,3.7409,3.8581,3.9958,4.1129,4.1343,4.1112
12/17/2025,3.4552,3.3403,3.311,3.3211,3.3706,3.4336,3.5037,3.5745,3.6415,3.7066,3.7692,3.8854,4.021,4.1367,4.157,4.1327
12/16/2025,3.4675,3.3505,3.3158,3.3194,3.365,3.4249,3.4924,3.5615,3.6274,3.6912,3.7528,3.8677,4.0028,4.117,4.1366,4.1118
12/15/2025,3.4696,3.3585,3.3296,3.3409,3.3875,3.4474,3.5145,3.5826,3.6481,3.7116,3.773,3.8881,4.0236,4.1384,4.1585,4.1345
12/12/2025,3.487,3.3784,3.351,3.3605,3.4049,3.4622,3.526,3.5912,3.6538,3.7151,3.7747,3.8863,4.0186,4.1295,4.1471,4.1208
12/11/2025,3.502,3.3961,3.3661,3.368,3.4054,3.4559,3.5148,3.5763,3.6363,3.6955,3.7535,3.8616,3.9906,4.0983,4.1137,4.0855
12/10/2025,3.5025,3.3935,3.3646,3.367,3.4043,3.4553,3.5147,3.5761,3.6364,3.6955,3.7532,3.8621,3.9908,4.0989,4.1145,4.086
12/9/2025,3.5622,3.4558,3.4255,3.4209,3.4523,3.4985,3.5536,3.6113,3.6687,3.7258,3.7817,3.8866,4.0113,4.1153,4.1271,4.0958
12/8/2025,3.5336,3.4174,3.38,3.371,3.402,3.4508,3.5104,3.573,3.6353,3.6963,3.7557,3.8665,3.9963,4.1057,4.1209,4.0927
12/5/2025,3.5244,3.3998,3.3564,3.3406,3.3686,3.4158,3.4759,3.5397,3.6035,3.6665,3.728,3.8424,3.977,4.091,4.1094,4.0837
12/4/2025,3.503,3.3669,3.3168,3.2947,3.3229,3.3708,3.4311,3.495,3.5594,3.6226,3.6844,3.7989,3.9338,4.048,4.0661,4.04
12/3/2025,3.484,3.3403,3.2843,3.2563,3.2832,3.331,3.3921,3.4576,3.5231,3.5873,3.6503,3.7677,3.9048,4.0214,4.0411,4.0165
12/2/2025,3.5062,3.3617,3.3049,3.279,3.3067,3.3555,3.4163,3.4817,3.5465,3.6102,3.6723,3.7886,3.9244,4.039,4.0571,4.0315
12/1/2025,3.5268,3.3805,3.3218,3.2925,3.3183,3.3653,3.424,3.4869,3.5511,3.6141,3.675,3.7888,3.9217,4.0336,4.0497,4.0222
11/28/2025,3.514,3.3591,3.2924,3.2496,3.2678,3.306,3.361,3.4224,3.4844,3.547,3.6072,3.721,3.8557,3.9672,3.9847,3.957
11/27/2025,3.5029,3.3383,3.2678,3.2236,3.24,3.2797,3.3355,3.3965,3.4603,3.523,3.583,3.697,3.8305,3.9435,3.96,3.9335
11/26/2025,3.5015,3.3385,3.2676,3.2224,3.2388,3.279,3.3349,3.3963,3.4599,3.5223,3.5832,3.6971,3.8308,3.9431,3.9602,3.9336
11/25/2025,3.4995,3.334,3.2599,3.2151,3.231,3.2713,3.3289,3.3915,3.4556,3.5187,3.5801,3.6963,3.831,3.9447,3.9628,3.9373
11/24/2025,3.5245,3.3604,3.2864,3.2407,3.2554,3.2927,3.3505,3.413,3.4768,3.5392,3.5998,3.713,3.8443,3.9547,3.9701,3.9429
11/21/2025,3.5315,3.3635,3.2915,3.2509,3.2725,3.3177,3.3784,3.4433,3.5083,3.5718,3.6335,3.7476,3.8795,3.9903,4.0063,3.9793
11/20/2025,3.5533,3.382,3.3091,3.2685,3.2904,3.335,3.395,3.4591,3.5233,3.5855,3.6465,3.7588,3.8889,3.9968,4.0114,3.9835
11/19/2025,3.5986,3.4354,3.3659,3.3327,3.3507,3.3962,3.4539,3.5159,3.5778,3.6383,3.6969,3.8061,3.9325,4.0369,4.0493,4.0195
11/18/2025,3.5806,3.4189,3.3511,3.312,3.329,3.3704,3.4277,3.4897,3.5518,3.6123,3.6711,3.7794,3.9053,4.0091,4.0211,3.9908
11/17/2025,3.6158,3.4573,3.3928,3.3564,3.3741,3.415,3.4686,3.5272,3.5864,3.644,3.7003,3.8048,3.9271,4.0276,4.0367,4.0043
11/14/2025,3.6094,3.4535,3.3907,3.3555,3.3746,3.4162,3.4719,3.5325,3.5925,3.6514,3.7085,3.8146,3.9388,4.0414,4.0514,4.0202
11/13/2025,3.6007,3.4446,3.381,3.3435,3.3616,3.4019,3.4557,3.5148,3.5735,3.6307,3.687,3.7919,3.9145,4.016,4.0248,3.9933
11/12/2025,3.5809,3.4275,3.3635,3.3237,3.338,3.3749,3.4275,3.4857,3.5436,3.6001,3.6556,3.7593,3.8803,3.98,3.9879,3.9552
11/11/2025,3.5582,3.4404,3.3458,3.3497,3.366,3.405,3.4576,3.5152,3.5722,3.627,3.6805,3.783,3.9005,3.998,4.004,3.9709
11/10/2025,3.5933,3.443,3.383,3.3494,3.3676,3.4066,3.4587,3.5153,3.5716,3.6267,3.6808,3.7825,3.9012,3.9989,4.005,3.9709
11/7/2025,3.5695,3.4164,3.3541,3.3185,3.3361,3.3754,3.4296,3.4889,3.5478,3.6045,3.66,3.7637,3.8843,3.9838,3.9913,3.9583
11/6/2025,3.5623,3.4073,3.3452,3.3103,3.328,3.366,3.4186,3.4765,3.5338,3.5897,3.6448,3.7467,3.8664,3.9638,3.9704,3.9367
11/5/2025,3.6304,3.4825,3.4231,3.3906,3.4092,3.4504,3.5004,3.5574,3.613,3.6675,3.7207,3.8215,3.9386,4.0338,4.0389,4.0041
11/4/2025,3.5925,3.434,3.369,3.3325,3.3495,3.3873,3.4386,3.495,3.5501,3.6048,3.6582,3.7596,3.8776,3.9735,3.9798,3.9458
11/3/2025,3.615,3.4584,3.3946,3.3572,3.3735,3.4109,3.4626,3.519,3.5748,3.63,3.6835,3.7854,3.9035,3.9995,4.0054,3.9715
10/31/2025,3.5995,3.4362,3.3683,3.3273,3.3417,3.378,3.431,3.488,3.545,3.6009,3.6547,3.7552,3.8723,3.9664,3.9709,3.9363
10/30/2025,3.6123,3.4532,3.3872,3.346,3.3618,3.3987,3.4502,3.5056,3.5608,3.6152,3.6679,3.7658,3.8793,3.97,3.9725,3.936
10/29/2025,3.6162,3.446,3.3744,3.3294,3.3446,3.3801,3.4296,3.4829,3.5367,3.5898,3.6415,3.7378,3.8498,3.939,3.9405,3.9034
10/28/2025,3.4933,3.3324,3.2681,3.2311,3.2492,3.2861,3.3355,3.3886,3.4433,3.4972,3.5497,3.6488,3.7641,3.8581,3.8629,3.8283
10/27/2025,3.4932,3.331,3.2664,3.2299,3.2477,3.2852,3.3357,3.3905,3.4468,3.5018,3.555,3.6555,3.7722,3.8674,3.8732,3.8394
10/24/2025,3.48,3.3177,3.2544,3.2215,3.2435,3.285,3.3385,3.396,3.4539,3.5115,3.5667,3.6711,3.7922,3.892,3.9008,3.8698
10/23/2025,3.4923,3.3272,3.2616,3.2261,3.2477,3.2891,3.3409,3.397,3.4539,3.5101,3.5649,3.667,3.7852,3.8815,3.8878,3.8546
10/22/2025,3.4642,3.2877,3.2149,3.1715,3.1887,3.2281,3.28,3.337,3.3949,3.4523,3.5078,3.6117,3.7315,3.8303,3.8379,3.8058
10/21/2025,3.47,3.2945,3.2214,3.1761,3.1904,3.227,3.2781,3.3346,3.3921,3.4491,3.5046,3.6087,3.7285,3.8269,3.8346,3.8026
10/20/2025,3.4696,3.2955,3.2241,3.1809,3.1959,3.2327,3.2852,3.3428,3.4016,3.4593,3.5155,3.6208,3.742,3.8423,3.8507,3.8193
10/17/2025,3.4654,3.293,3.2247,3.1886,3.2093,3.2508,3.3056,3.3652,3.4253,3.4847,3.542,3.6487,3.7715,3.8729,3.8821,3.851
10/16/2025,3.436,3.2594,3.1865,3.145,3.1636,3.2056,3.2628,3.3258,3.3889,3.4502,3.51,3.6196,3.7457,3.8499,3.8615,3.8321
10/15/2025,3.5145,3.3401,3.2675,3.2229,3.2382,3.276,3.3301,3.3901,3.4501,3.5091,3.5666,3.6735,3.7962,3.8972,3.9067,3.8759
10/14/2025,3.51,3.3322,3.2583,3.217,3.2355,3.2761,3.3333,3.3961,3.458,3.5185,3.5775,3.6848,3.8081,3.9088,3.918,3.8868
10/13/2025,3.5155,3.3418,3.27,3.2261,3.2411,3.2766,3.3275,3.383,3.441,3.4968,3.5525,3.6557,3.775,3.873,3.8786,3.8491
10/10/2025,3.5155,3.3418,3.27,3.2261,3.2411,3.2766,3.3275,3.383,3.441,3.4968,3.5525,3.6557,3.775,3.873,3.8786,3.8491
10/9/2025,3.5935,3.4313,3.3664,3.3314,3.35,3.3884,3.4391,3.495,3.5516,3.6078,3.662,3.7644,3.883,3.9795,3.9853,3.9519
10/8/2025,3.5992,3.433,3.364,3.3221,3.3344,3.3686,3.4185,3.4744,3.5307,3.587,3.642,3.7464,3.8662,3.9655,3.973,3.9408
10/7/2025,3.5941,3.4225,3.3498,3.3084,3.3231,3.3605,3.4152,3.4763,3.5369,3.5961,3.6532,3.7595,3.8815,3.9814,3.9892,3.957
10/6/2025,3.6034,3.4354,3.3667,3.3278,3.3435,3.3808,3.4337,3.4925,3.5516,3.6093,3.6653,3.7694,3.8895,3.9876,3.9946,3.9614
10/3/2025,3.5956,3.4258,3.3553,3.3121,3.3255,3.3609,3.4099,3.4647,3.5203,3.5759,3.6298,3.7317,3.8503,3.9465,3.9525,3.9188
10/2/2025,3.5691,3.3967,3.3236,3.2774,3.2882,3.3221,3.3716,3.428,3.4852,3.5416,3.5974,3.7017,3.8229,3.9224,3.9296,3.897
10/1/2025,3.5755,3.4013,3.3255,3.2748,3.2868,3.3226,3.3748,3.4333,3.4921,3.55,3.6067,3.7138,3.8364,3.936,3.9437,3.9113
9/30/2025,3.6391,3.4705,3.396,3.3464,3.3566,3.39,3.439,3.494,3.5492,3.604,3.6571,3.7587,3.8749,3.9669,3.9698,3.9336
9/29/2025,3.6539,3.4827,3.4073,3.3548,3.3614,3.3915,3.4396,3.4929,3.548,3.6019,3.654,3.7519,3.8636,3.9507,3.9509,3.9119
9/26/2025,3.675,3.504,3.4275,3.3761,3.3846,3.4179,3.4663,3.5206,3.5756,3.6302,3.6831,3.782,3.8949,3.9836,3.9853,3.9472
9/25/2025,3.6947,3.5205,3.4399,3.3809,3.3827,3.4113,3.4571,3.5099,3.5646,3.619,3.6719,3.7705,3.8835,3.9741,3.9774,3.94
9/24/2025,3.6427,3.465,3.3799,3.3196,3.3244,3.3562,3.405,3.4609,3.5183,3.5755,3.6312,3.7355,3.8551,3.9533,3.9618,3.9285
9/23/2025,3.6245,3.436,3.3446,3.2784,3.279,3.3079,3.3578,3.4151,3.4744,3.5328,3.59,3.6964,3.819,3.9203,3.9306,3.8989
9/22/2025,3.6345,3.4481,3.3609,3.2999,3.3051,3.3384,3.3915,3.4518,3.513,3.573,3.631,3.7379,3.8608,3.962,3.9721,3.9398
9/19/2025,3.6104,3.4202,3.3306,3.2695,3.2765,3.3114,3.3655,3.4266,3.4882,3.5495,3.6084,3.7165,3.8408,3.9433,3.9541,3.9224
9/18/2025,3.601,3.4103,3.3213,3.2607,3.2656,3.2972,3.3495,3.408,3.4685,3.5287,3.587,3.6947,3.8194,3.9231,3.9349,3.9041
9/17/2025,3.601,3.4058,3.3124,3.2498,3.2563,3.2898,3.34,3.3968,3.4554,3.5141,3.571,3.6761,3.7973,3.8976,3.9069,3.8742
9/16/2025,3.5908,3.3738,3.2663,3.1891,3.1887,3.2187,3.2681,3.3257,3.3861,3.4464,3.505,3.6131,3.7383,3.8439,3.8566,3.8268
9/15/2025,3.611,3.4008,3.2964,3.2149,3.2095,3.2344,3.2807,3.3353,3.3942,3.4531,3.5107,3.6185,3.7439,3.8511,3.8645,3.8357
9/12/2025,3.6173,3.4142,3.3106,3.2335,3.231,3.2583,3.3048,3.3595,3.4182,3.4775,3.5347,3.6412,3.7654,3.8708,3.8825,3.8523
9/11/2025,3.6,3.3958,3.2909,3.21,3.2025,3.2266,3.2702,3.3225,3.3802,3.439,3.4961,3.6043,3.7313,3.8404,3.8549,3.8273
9/10/2025,3.6339,3.4171,3.302,3.2128,3.2039,3.2296,3.2785,3.3366,3.3992,3.4617,3.5227,3.6365,3.7682,3.8815,3.8985,3.8723
9/9/2025,3.6511,3.4323,3.3163,3.2267,3.2197,3.2491,3.3031,3.366,3.4325,3.4978,3.5605,3.6755,3.8072,3.9183,3.9334,3.906
9/8/2025,3.5835,3.3604,3.2458,3.1599,3.1582,3.1916,3.2462,3.31,3.3776,3.4434,3.507,3.6245,3.7591,3.8726,3.8901,3.8634
9/5/2025,3.612,3.3909,3.2789,3.1923,3.187,3.2195,3.2756,3.3413,3.4108,3.479,3.5449,3.6674,3.809,3.9289,3.9517,3.9291
9/4/2025,3.702,3.4751,3.3546,3.2565,3.2493,3.2829,3.3433,3.4141,3.4865,3.557,3.6253,3.7506,3.8939,4.0143,4.0375,4.0151
9/3/2025,3.7344,3.5113,3.391,3.2965,3.2937,3.3311,3.3936,3.4662,3.5388,3.6097,3.6778,3.8022,3.9428,4.0593,4.0799,4.0553
9/2/2025,3.7601,3.5352,3.4141,3.3193,3.317,3.356,3.4218,3.498,3.5733,3.6463,3.7165,3.8448,3.9903,4.1122,4.1359,4.1139
9/1/2025,3.763,3.5156,3.3908,3.294,3.2945,3.335,3.4003,3.4749,3.5497,3.6217,3.691,3.8185,3.9622,4.0832,4.1065,4.0844
8/29/2025,3.7515,3.5156,3.3908,3.294,3.2945,3.335,3.4003,3.4749,3.5497,3.6217,3.691,3.8185,3.9622,4.0832,4.1065,4.0844
8/28/2025,3.7631,3.5264,3.4003,3.2986,3.2942,3.3298,3.3908,3.4618,3.533,3.6026,3.6693,3.7914,3.9298,4.0446,4.0637,4.0386
8/27/2025,3.7502,3.5114,3.3854,3.2901,3.2919,3.3345,3.4036,3.4819,3.5578,3.6311,3.7013,3.8272,3.9679,4.0855,4.1057,4.0818
8/26/2025,3.776,3.5395,3.4184,3.3276,3.3333,3.3773,3.4449,3.5204,3.5935,3.6637,3.7307,3.8509,3.9857,4.0972,4.1128,4.0852
8/25/2025,3.8163,3.5885,3.4714,3.3816,3.3841,3.424,3.4863,3.555,3.623,3.6881,3.7514,3.8636,3.9896,4.0917,4.1012,4.0687
8/22/2025,3.7909,3.5597,3.4425,3.354,3.3595,3.4015,3.4645,3.5336,3.6016,3.6672,3.7304,3.8431,3.9701,4.0732,4.0829,4.0515
8/21/2025,3.8764,3.6549,3.5411,3.4524,3.4557,3.4951,3.553,3.6169,3.6804,3.742,3.8016,3.9084,4.0285,4.1246,4.1293,4.0936
8/20/2025,3.8321,3.6146,3.5028,3.4145,3.415,3.4531,3.5131,3.5794,3.6452,3.7089,3.77,3.8799,4.0029,4.1021,4.1092,4.0751
8/19/2025,3.8312,3.6166,3.5078,3.4226,3.4257,3.4655,3.5249,3.5901,3.655,3.7181,3.7784,3.8877,4.0104,4.1097,4.1167,4.0824
8/18/2025,3.8514,3.6347,3.5255,3.4402,3.4457,3.4877,3.5483,3.6142,3.6801,3.7435,3.8045,3.9135,4.036,4.1351,4.1414,4.1067
8/15/2025,3.8396,3.622,3.5109,3.4285,3.437,3.48,3.5405,3.6058,3.6705,3.7335,3.7941,3.9024,4.025,4.1242,4.1306,4.0962
8/14/2025,3.8143,3.5976,3.4886,3.4072,3.4141,3.4548,3.5128,3.5763,3.6399,3.7015,3.7608,3.8665,3.9859,4.0811,4.0853,4.0486
8/13/2025,3.76,3.5423,3.4333,3.3532,3.3607,3.4025,3.461,3.5248,3.5886,3.6502,3.7094,3.8167,3.9372,4.0337,4.0386,4.0024
8/12/2025,3.8063,3.5895,3.4846,3.4088,3.4174,3.4588,3.516,3.5786,3.6408,3.701,3.7593,3.8655,3.9854,4.0809,4.0849,4.0484
8/11/2025,3.8478,3.6316,3.527,3.4433,3.4428,3.4764,3.5285,3.5871,3.6466,3.7043,3.76,3.8622,3.9775,4.0685,4.0698,4.0313
8/8/2025,3.8475,3.6332,3.5255,3.4399,3.4386,3.4705,3.5223,3.5804,3.6395,3.6969,3.7521,3.8532,3.9676,4.0571,4.0576,4.0177
8/7/2025,3.8151,3.595,3.484,3.3977,3.3969,3.4304,3.484,3.5438,3.6043,3.6627,3.7193,3.822,3.9378,4.029,4.0305,3.9921
8/6/2025,3.817,3.5905,3.4747,3.386,3.3844,3.4177,3.4717,3.5323,3.5935,3.6522,3.7093,3.8135,3.9306,4.022,4.0243,3.9852
8/5/2025,3.8386,3.6077,3.4893,3.3962,3.3881,3.416,3.4644,3.52,3.5767,3.6316,3.6853,3.7833,3.894,3.9793,3.9773,3.9356
8/4/2025,3.7954,3.5592,3.4422,3.35,3.3454,3.3778,3.4316,3.4921,3.5535,3.612,3.669,3.7729,3.8899,3.981,3.983,3.9445
8/1/2025,3.8153,3.577,3.457,3.3685,3.368,3.405,3.462,3.5253,3.5881,3.6485,3.7069,3.8116,3.9297,4.0212,4.0233,3.9847
7/31/2025,4.0781,3.8522,3.7238,3.6076,3.5869,3.6056,3.647,3.6961,3.7469,3.7969,3.8456,3.935,4.0373,4.1131,4.1041,4.0569
7/30/2025,4.053,3.8305,3.7046,3.5912,3.5717,3.5913,3.635,3.6864,3.7388,3.7903,3.8406,3.9324,4.0363,4.113,4.1046,4.0581
7/29/2025,3.9735,3.7495,3.6257,3.5195,3.5069,3.5328,3.5809,3.6353,3.6904,3.7443,3.7965,3.8916,3.9995,4.08,4.0739,4.0294
7/28/2025,4.007,3.7915,3.6742,3.5765,3.5703,3.6019,3.6536,3.7115,3.7689,3.8249,3.8788,3.9767,4.0876,4.1712,4.1668,4.1234
7/25/2025,4.0093,3.7913,3.6747,3.575,3.5665,3.5956,3.6449,3.7005,3.7563,3.8107,3.8635,3.9599,4.0695,4.152,4.147,4.1027
7/24/2025,4.0103,3.7851,3.6654,3.5674,3.5621,3.5944,3.6442,3.7003,3.7556,3.8101,3.8631,3.959,4.0688,4.1513,4.1458,4.1016
7/23/2025,3.988,3.7541,3.6301,3.53,3.526,3.5608,3.6147,3.675,3.734,3.791,3.8465,3.946,4.0589,4.1449,4.1415,4.0989
7/22/2025,3.9689,3.7181,3.587,3.4842,3.4825,3.519,3.575,3.6375,3.6978,3.7561,3.8124,3.9142,4.0296,4.119,4.1178,4.0771
7/21/2025,3.9854,3.741,3.6158,3.5154,3.5147,3.5515,3.6061,3.6665,3.7255,3.7825,3.8374,3.937,4.0505,4.1377,4.136,4.095
7/18/2025,3.9866,3.7491,3.6283,3.536,3.537,3.5746,3.632,3.6968,3.757,3.8128,3.8687,3.9682,4.081,4.1667,4.1669,4.1255
7/17/2025,4.0128,3.7786,3.66,3.5707,3.5746,3.6123,3.6685,3.7296,3.7884,3.845,3.9,3.9982,4.1093,4.1932,4.1896,4.1474
7/16/2025,3.9924,3.7596,3.6444,3.5628,3.5682,3.6074,3.6641,3.7256,3.7845,3.8413,3.8958,3.9937,4.1039,4.1867,4.1823,4.1398
